0.0,74.26,78.801
0.0,74.211,78.823
0.0,74.146,78.78
0.0,74.131,78.736
0.0,74.09,78.787
0.0,74.144,78.793
0.0,74.217,78.78
0.0,74.11,78.783
0.0,74.063,78.793
0.0,74.063,78.778
0.0,74.024,78.703
0.0,73.897,78.72
0.0,73.883,78.654
0.0,73.862,78.568
0.0,73.927,78.446
0.0,73.86,78.478
0.0,73.863,78.433
0.0,73.798,78.301
0.0,73.845,78.259
0.0,73.825,78.194
0.0,73.839,78.141
0.0,73.781,78.098
0.0,73.796,78.115
0.0,73.765,78.131
0.0,73.761,78.087
0.0,73.764,77.946
0.0,73.721,77.748
0.0,73.706,77.677
0.0,73.838,77.666
0.0,73.889,77.645
0.0,73.851,77.631
0.0,73.861,77.604
0.0,73.834,77.479
0.0,73.858,77.487
0.0,73.784,77.459
0.0,73.708,77.371
0.0,73.683,77.358
0.0,73.617,77.308
0.0,73.727,77.377
0.0,73.62,77.303
0.0,73.555,77.276
0.0,73.51,77.17
0.0,73.479,77.129
0.0,73.48,77.096
0.0,73.461,77.007
0.0,73.436,76.891
0.0,73.332,76.722
0.0,73.219,76.623
0.0,73.028,76.551
0.0,72.763,76.343
0.0,72.563,76.357
0.0,72.308,76.314
0.0,72.286,76.252
0.0,72.255,76.585
0.0,72.301,76.842
0.0,72.431,76.909
0.0,72.371,77.013
0.0,72.442,77.134
0.0,72.457,77.247
0.0,72.383,77.165
0.0,72.598,77.282
0.0,72.637,77.325
0.0,72.641,77.303
0.0,72.693,77.202
0.0,72.772,77.204
0.0,72.705,77.229
0.0,72.637,77.142
0.0,72.705,77.25
0.0,72.6,77.349
0.0,72.642,77.368
0.0,72.697,77.314
0.0,72.679,77.327
0.0,72.601,77.324
0.183,72.45,77.374
1.146,72.392,77.386
0.987,72.358,77.291
2.428,72.381,77.367
4.935,72.498,77.41
7.856,72.611,77.54
11.407,72.967,77.696
15.578,73.242,77.872
18.44,73.593,78.034
21.21,73.841,78.131
24.631,74.125,78.362
28.604,74.375,78.543
33.077,74.723,78.62
38.703,75.054,78.628
45.7,75.394,78.494
54.016,75.759,78.463
58.441,76.099,78.585
63.436,76.382,78.723
66.369,76.9,79.009
67.396,77.274,79.545
57.734,77.428,79.966
52.069,77.807,79.937
45.95,77.925,79.861
50.446,78.073,79.666
66.603,78.566,79.742
104.555,79.491,80.22
142.014,81.15,81.427
159.018,83.073,82.556
137.722,84.081,83.055
108.038,84.05,82.838
104.382,83.855,83.487
90.438,83.289,84.117
101.738,83.092,84.175
128.967,83.533,84.459
94.5,84.07,85.107
157.455,84.659,85.113
359.099,87.726,87.493
199.096,92.155,87.625
135.05,91.138,85.903
155.953,89.79,85.043
132.537,89.068,84.11
146.673,88.157,83.513
217.134,88.717,84.224
383.451,91.215,86.357
